group_key,speaker,00:00-00:10,00:10-00:20,00:20-00:30,00:30-00:40,00:40-00:50,00:50-00:60,01:00-01:10,01:10-01:20,01:20-01:30,01:30-01:40,01:40-01:50,01:50-01:60,02:00-02:10,02:10-02:20,02:20-02:30,02:30-02:40,02:40-02:50,02:50-02:60,03:00-03:10,03:10-03:20,03:20-03:30,03:30-03:40,03:40-03:50,03:50-03:60,04:00-04:10,04:10-04:20,04:20-04:30,04:30-04:40,04:40-04:50,04:50-04:60,05:00-05:10,05:10-05:20,05:20-05:30,05:30-05:40,05:40-05:50,05:50-05:60,06:00-06:10,06:10-06:20,06:20-06:30,06:30-06:40,06:40-06:50,06:50-06:60,07:00-07:10,07:10-07:20,07:20-07:30,07:30-07:40,07:40-07:50,07:50-07:60,08:00-08:10,08:10-08:20,08:20-08:30,08:30-08:40,08:40-08:50,08:50-08:60,09:00-09:10,09:10-09:20,09:20-09:30,09:30-09:40,09:40-09:50,09:50-09:60,10:00-10:10,10:10-10:20,10:20-10:30,10:30-10:40,10:40-10:50,10:50-10:60,11:00-11:10,11:10-11:20,11:20-11:30,11:30-11:40,11:40-11:50,11:50-11:60,12:00-12:10,12:10-12:20,12:20-12:30,12:30-12:40,12:40-12:50,12:50-12:60,13:00-13:10,13:10-13:20,13:20-13:30,13:30-13:40,13:40-13:50,13:50-13:60,14:00-14:10,14:10-14:20,14:20-14:30,14:30-14:40,14:40-14:50,14:50-14:60,15:00-15:10,15:10-15:20,15:20-15:30,15:30-15:40,15:40-15:50,15:50-15:60,16:00-16:10,16:10-16:20,16:20-16:30,16:30-16:40,16:40-16:50,16:50-16:60,17:00-17:10,17:10-17:20,17:20-17:30,17:30-17:40,17:40-17:50,17:50-17:60,18:00-18:10,18:10-18:20,18:20-18:30,18:30-18:40,18:40-18:50,18:50-18:60,19:00-19:10,19:10-19:20,19:20-19:30,19:30-19:40,19:40-19:50,19:50-19:60,20:00-20:10,20:10-20:20,20:20-20:30,20:30-20:40,20:40-20:50,20:50-20:60,21:00-21:10,21:10-21:20,21:20-21:30,21:30-21:40,21:40-21:50,21:50-21:60,22:00-22:10,22:10-22:20,22:20-22:30,22:30-22:40,22:40-22:50,22:50-22:60,23:00-23:10,23:10-23:20,23:20-23:30,23:30-23:40,23:40-23:50,23:50-23:60,24:00-24:10,24:10-24:20,24:20-24:30,24:30-24:40,24:40-24:50,24:50-24:60,25:00-25:10,25:10-25:20,25:20-25:30,25:30-25:40,25:40-25:50,25:50-25:60,26:00-26:10,26:10-26:20,26:20-26:30,26:30-26:40,26:40-26:50,26:50-26:60,27:00-27:10,27:10-27:20,27:20-27:30,27:30-27:40,27:40-27:50,27:50-27:60,28:00-28:10,28:10-28:20,28:20-28:30,28:30-28:40,28:40-28:50,28:50-28:60,29:00-29:10,29:10-29:20,29:20-29:30,29:30-29:40,29:40-29:50,29:50-29:60
group31,Mengyang1,0,0,0,2,3,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,5,15,0,0,0,0,3,0,2,10,0,7,4,0,0,0,0,6,0,0,0,0,11,10,10,7,12,17,2,7,0,0,0,0,0,0,0,0,0,0
group31,Ling1,6,8,7,0,0,0,0,0,4,7,0,0,7,2,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,9,15,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,7,19,5,0,14,5,0,0,1,0,0,0,0
group32,Jelly2,8,1,2,14,6,2,8,0,1,8,5,0,1,4,5,0,3,6,16,3,0,2,0,1,2,6,12,1,5,0,2,8,4,2,1,8,7,1,1,2,3,15,1,0,0,0,3,2,1,0,1,11,0,6,5,3,8,13,7,8,6,9,14,5,0,1,0,6,2,7,15,7,0,9,7,10,6,6,7,10,11,9,12,15,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,7,4,4,2,0,0,2,6,4,3,2,13,2,0,0,0,0,0,0,3,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,13,0,3,0,6,0,0,5,2,9,2
group32,Mengyang2,0,0,0,9,15,2,2,11,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,1,0,2,8,2,8,11,0,0,0,0,0,0,0,3,0,0,0,4,4,11,14,10,11,5,4,10,4,4,4,1,2,0,0,0,0,0,0,0,3,7,5,14,11,0,1,2,11,3,0,8,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,7,3,6,12,1,6,0,0,0,0,0,5,8,3,3,2,0,0,0,0,0,8,6,0,7,7,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group32,Ling2,2,8,4,7,9,11,0,0,4,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,12,2,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,2
group41,Theo1,1,13,11,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,0,0,0,0,7,0,8,5,2,10,0,5,1,4,10,0,0,0,0,0,5,6,2,5,11,0,0,0,0,0,0,6,10,13,3,6,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,1,0,0,0,0,0,1,8,5,7,3,0,6,2,4,0,8,0,1,9,0,0,0,0,0,0,0,0,0,0,12,7,2,1,0,2,0,0,0
group41,Gladys1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,11,6,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,5,10,11,13,22,29,34,34,34,39,45,46,59,63,63,77,90,96,5,2,9,11,1,2,13,5,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,15,15,9,3,12,10,14,14,0,1,1
group41,Scott1,4,3,4,14,17,15,17,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,6,0,2,0,2,0,0,0,0,0,0,6,16,5,0,0,0,0,0,0,3,8,0,3,12,6,4,5,2,11,13,6,11,15,11,4,3,10,6,0,5,11,3,1,3,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9
group42,Theo2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,5,0,0,0,0,0,2,3,0,0,0,0,0,0,0,9,13,0,9,0,0,0,0,0,0,0,0,0,0,12,7,0,6,5,1,0,7,5,4,3,0,0,0,8,3,0,0,0,0,0,5,3,0,0,6,0,5,0,8,1,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,14,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group42,Gladys2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group42,Scott2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,14,16,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,0,9,5,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,15,1,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group51,Fangfang1,2,10,6,11,15,11,10,14,10,12,8,13,9,14,14,7,8,4,10,2,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,0,12,2,3,0,0,0,0,0,0,0,0,0,3,1,17,18,9,13,7,17,0,2,5,4,3,1,5,13,12,12,14,10,10,3,14,8,7,12,13,10,13,16,7,7,10,1,6,5,13,7,17,3,9,5,6,3,0,0,0,0,0,0,0,3,0,0,4,0,2,18,11,16,13,16,1,4,9,11,4,0,0,0,9,16,7,0,0,0,6,8,10,5,3,8,0,6,8,13,10,12,9,3,7,8,20,5,0,0,0,0,0,4,5,0,0,0,0,0,0,0,5,2,14,9,0,0,3,0,0,0
group51,Licia1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group51,AngelZ1,15,14,0,13,9,12,3,9,11,13,18,14,15,2,12,6,0,10,8,0,12,13,2,1,0,0,0,0,1,4,4,0,0,11,15,6,0,13,12,0,0,0,0,7,10,13,19,8,11,0,0,0,0,1,17,11,9,0,3,2,12,10,9,3,10,26,20,16,7,10,10,15,14,6,3,19,13,15,16,9,10,12,15,19,16,13,14,12,15,7,8,3,11,15,9,7,10,12,11,5,0,1,10,6,15,14,11,9,4,0,0,0,0,0,0,0,8,17,9,1,2,7,12,12,15,13,10,7,14,8,7,4,2,2,7,20,13,1,1,10,21,4,0,0,12,23,18,15,6,7,17,0,0,3,10,0,0,0,13,13,11,11,6,5,0,0,0,0,0,0,0,11,5,6,0,0,0,0,0,0
group52,Fangfang2,6,9,18,13,9,0,0,0,0,0,0,2,4,2,3,0,14,0,0,0,1,2,0,3,10,13,0,0,0,14,0,0,2,5,5,9,0,0,0,6,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,10,7,9,6,6,15,19,4,7,8,11,4,11,2,10,8,4,8,7,11,15,11,7,6,0,0,0,0,1,20,12,4,4,0,0,5,11,5,14,4,8,4,14,15,13,0,3,12,6,15,18,8,15,12,7,10,4,3,4,0,4,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,2,0,3,0,0,0,0,3,0,0,0,0,0,8,4,10,6,7,0,0,0,0,0,0,0,0,0,0,0
group52,Licia2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group52,AngelZ2,0,2,6,8,10,10,5,9,1,0,0,0,8,8,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,5,4,9,8,7,9,12,10,11,3,4,0,0,0,0,1,12,1,0,0,0,0,0,6,7,3,12,13,11,14,15,1,0,10,21,17,9,16,15,12,14,13,0,0,0,0,0,0,3,2,0,0,0,5,14,4,0,0,0,0,0,0,0,10,0,2,18,3,9,0,0,6,9,5,12,11,14,4,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,12,11,4,0,0,0,0,0,0,0,0,0,0,0,0
group61,Amy1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group61,Ben1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group61,Jasper1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group62,Amy2,0,0,1,8,8,0,0,6,7,10,5,4,2,1,9,5,0,3,4,4,4,5,8,5,1,3,5,7,1,8,1,10,13,6,4,7,7,1,2,8,5,7,7,1,0,0,0,2,1,0,3,0,0,5,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,2,11,2,0,3,0,2,0,0,2,7,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,3,7,0,0,0,0,0,0,0,3,7,1,3,0,3,0,2,0,4,0,0,5,0,0,0,0,5,4,0,3,0,0,4,0,0,4,3,5,0,0,4,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,6,11,0,0,2,0,0,0,0,0
group62,Ben2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group62,Jasper2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group71,Yikr1,0,2,0,0,1,0,0,3,0,0,0,0,5,2,5,0,3,4,11,5,4,0,4,12,3,0,4,0,0,9,11,5,10,4,4,3,5,5,13,7,0,2,0,0,0,0,0,2,1,7,4,0,0,0,0,0,5,0,0,15,6,8,7,3,0,12,14,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,12,15,0,0,0,1,4,4,4,6,10,10,11,15,15,15,15,15,19,28,29,29,29,29,29,37,37,37,37,37,37,43,46,46,46,46,46,46,46,46,46,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,1,3,4,0,0,7,2,0,0,0,0,0
group71,Aries1,1,5,4,1,6,5,10,11,10,0,0,0,6,9,0,0,1,1,1,6,7,0,0,2,0,0,0,0,0,4,4,9,0,0,2,9,2,3,0,0,2,2,0,0,0,11,11,6,6,15,4,3,7,0,2,9,7,3,4,6,5,0,0,1,14,7,2,4,9,3,7,6,0,0,0,2,13,13,13,6,15,17,13,5,8,13,10,13,9,0,0,0,0,0,0,0,0,0,9,8,14,3,7,5,10,8,8,13,9,1,7,14,4,15,14,6,7,2,0,5,9,10,14,5,4,17,4,16,15,13,18,14,11,4,16,2,13,4,0,0,0,5,3,4,4,3,8,6,3,6,13,5,6,0,0,8,9,12,8,5,11,8,14,9,10,3,9,7,7,10,10,11,13,6,3,13,14,10,9,15
group71,Emerald1,15,13,12,9,15,16,9,9,9,7,17,23,18,15,10,15,14,11,10,15,11,5,3,8,7,11,11,6,15,18,12,9,14,10,5,16,10,3,5,13,7,5,5,18,0,16,17,13,14,11,10,4,17,13,11,7,21,12,15,13,9,11,14,10,20,16,10,14,9,11,6,2,2,8,16,13,8,11,9,13,0,0,7,18,8,3,12,9,6,12,6,9,0,0,0,0,16,16,17,14,11,10,15,13,10,10,0,0,3,7,19,0,0,20,13,14,8,18,0,6,9,17,17,17,21,4,10,6,2,4,15,8,5,9,17,10,0,0,0,9,0,2,5,0,3,5,1,0,8,0,10,19,1,9,0,9,12,12,10,4,0,1,4,0,3,7,1,0,0,0,3,0,0,11,9,0,5,13,8,17
