group_id,condition,speak_total_s,speak_count,gini_speak
Group0,NoAI,509.44,41,0.242
Group0,AI,553.98,35,0.168
Group1,AI,1270.51,57,0.105
Group1,NoAI,1265.78,66,0.259
Group2,NoAI,425.72,35,0.203
Group2,AI,412.65,37,0.123
Group3,AI,1452.28,63,0.274
Group3,NoAI,1474.13,73,0.218
Group4,NoAI,1195.09,55,0.249
Group4,AI,1072.35,54,0.343
Group5,AI,1016.12,65,0.231
Group5,NoAI,1235.88,79,0.162
Group6,NoAI,1187.74,28,0.411
Group6,AI,1002.65,33,0.351
Group7,AI,729.81,40,0.179
Group7,NoAI,463.97,19,0.233
Group8,NoAI,1178.97,47,0.246
Group8,AI,1064.99,47,0.036
Group9,AI,583.77,60,0.174
Group9,NoAI,641.2,57,0.199
Group10,NoAI,440.94,27,0.395
Group10,AI,296.18,20,0.172
Group11,AI,979.03,45,0.157
Group11,NoAI,845.86,48,0.352