Group,MemberID,Session,Condition,Type,Total_Frames,Mean_Level
G0,P1,1,NoAI,姿态,168,2.005952380952380
G0,P1,1,NoAI,视线,168,3.0
G0,P1,2,AI,姿态,165,2.212121212121210
G0,P1,2,AI,视线,165,2.9393939393939400
G0,P2,1,NoAI,姿态,168,2.005952380952380
G0,P2,1,NoAI,视线,168,2.9523809523809500
G0,P2,2,AI,姿态,165,2.2484848484848500
G0,P2,2,AI,视线,165,2.981818181818180
G0,P3,1,NoAI,姿态,168,2.0892857142857100
G0,P3,1,NoAI,视线,168,2.9642857142857100
G0,P3,2,AI,姿态,165,2.4606060606060600
G0,P3,2,AI,视线,165,2.915151515151520
G1,P4,1,AI,姿态,182,2.021978021978020
G1,P4,1,AI,视线,182,2.879120879120880
G1,P4,2,NoAI,姿态,206,1.8640776699029100
G1,P4,2,NoAI,视线,206,2.9757281553398100
G1,P5,1,AI,姿态,182,2.0
G1,P5,1,AI,视线,182,3.0
G1,P5,2,NoAI,姿态,206,1.8058252427184500
G1,P5,2,NoAI,视线,206,2.825242718446600
G1,P6,1,AI,姿态,182,2.0164835164835200
G1,P6,1,AI,视线,182,3.0
G1,P6,2,NoAI,姿态,206,1.9854368932038800
G1,P6,2,NoAI,视线,206,2.8689320388349500
G2,P7,1,NoAI,姿态,180,2.0
G2,P7,1,NoAI,视线,180,3.0
G2,P7,2,AI,姿态,168,2.0
G2,P7,2,AI,视线,168,3.0
G2,P8,1,NoAI,姿态,180,2.0
G2,P8,1,NoAI,视线,180,2.9833333333333300
G2,P8,2,AI,姿态,168,1.9166666666666700
G2,P8,2,AI,视线,168,2.988095238095240
G2,P9,1,NoAI,姿态,180,2.0
G2,P9,1,NoAI,视线,180,2.9944444444444400
G2,P9,2,AI,姿态,168,2.0
G2,P9,2,AI,视线,168,3.0
G3,P10,1,AI,姿态,175,2.0114285714285700
G3,P10,1,AI,视线,175,3.0
G3,P10,2,NoAI,姿态,178,1.9775280898876400
G3,P10,2,NoAI,视线,178,3.0
G3,P11,1,AI,姿态,175,2.0
G3,P11,1,AI,视线,175,3.0
G3,P11,2,NoAI,姿态,178,1.9831460674157300
G3,P11,2,NoAI,视线,178,3.0
G3,P12,1,AI,姿态,175,2.0
G3,P12,1,AI,视线,175,3.0
G3,P12,2,NoAI,姿态,178,1.9831460674157300
G3,P12,2,NoAI,视线,178,2.99438202247191
G4,P13,1,NoAI,姿态,186,1.6612903225806500
G4,P13,1,NoAI,视线,186,3.0
G4,P13,2,AI,姿态,158,1.759493670886080
G4,P13,2,AI,视线,158,3.0
G4,P14,1,NoAI,姿态,186,1.7311827956989200
G4,P14,1,NoAI,视线,186,3.0
G4,P14,2,AI,姿态,158,1.9936708860759500
G4,P14,2,AI,视线,158,3.0
G4,P15,1,NoAI,姿态,186,1.956989247311830
G4,P15,1,NoAI,视线,186,3.0
G4,P15,2,AI,姿态,158,1.9620253164557000
G4,P15,2,AI,视线,158,3.0
G5,P16,1,AI,姿态,174,1.9310344827586200
G5,P16,1,AI,视线,174,3.0
G5,P16,2,NoAI,姿态,159,1.2893081761006300
G5,P16,2,NoAI,视线,159,3.0
G5,P17,1,AI,姿态,174,2.0
G5,P17,1,AI,视线,174,3.0
G5,P17,2,NoAI,姿态,159,2.0
G5,P17,2,NoAI,视线,159,2.9874213836478000
G5,P18,1,AI,姿态,174,2.0
G5,P18,1,AI,视线,174,2.9885057471264400
G5,P18,2,NoAI,姿态,159,1.5911949685534600
G5,P18,2,NoAI,视线,159,2.9874213836478000
G6,P19,1,NoAI,姿态,187,2.0
G6,P19,1,NoAI,视线,187,3.0
G6,P19,2,AI,姿态,174,2.0
G6,P19,2,AI,视线,174,3.0
G6,P20,1,NoAI,姿态,187,2.0
G6,P20,1,NoAI,视线,187,2.7967914438502700
G6,P20,2,AI,姿态,174,2.0
G6,P20,2,AI,视线,174,3.0
G6,P21,1,NoAI,姿态,187,2.0
G6,P21,1,NoAI,视线,187,2.935828877005350
G6,P21,2,AI,姿态,174,1.9597701149425300
G6,P21,2,AI,视线,174,2.9770114942528700
G7,P22,1,AI,姿态,183,1.9125683060109300
G7,P22,1,AI,视线,183,2.989071038251370
G7,P22,2,NoAI,姿态,147,1.5578231292517000
G7,P22,2,NoAI,视线,147,2.7551020408163300
G7,P23,1,AI,姿态,183,1.9781420765027300
G7,P23,1,AI,视线,183,2.80327868852459
G7,P23,2,NoAI,姿态,147,2.0
G7,P23,2,NoAI,视线,147,1.9727891156462600
G7,P24,1,AI,姿态,183,1.9836065573770500
G7,P24,1,AI,视线,183,2.989071038251370
G7,P24,2,NoAI,姿态,147,1.9591836734693900
G7,P24,2,NoAI,视线,147,2.945578231292520
G8,P25,1,NoAI,姿态,180,2.05
G8,P25,1,NoAI,视线,180,3.0
G8,P25,2,AI,姿态,171,1.8421052631578900
G8,P25,2,AI,视线,171,3.0
G8,P26,1,NoAI,姿态,180,1.9722222222222200
G8,P26,1,NoAI,视线,180,3.0
G8,P26,2,AI,姿态,171,2.0
G8,P26,2,AI,视线,171,3.0
G8,P27,1,NoAI,姿态,180,1.9833333333333300
G8,P27,1,NoAI,视线,180,2.966666666666670
G8,P27,2,AI,姿态,171,2.0058479532163700
G8,P27,2,AI,视线,171,3.0
G9,P28,1,AI,姿态,180,2.061111111111110
G9,P28,1,AI,视线,180,2.9555555555555600
G9,P28,2,NoAI,姿态,178,1.9662921348314600
G9,P28,2,NoAI,视线,178,2.960674157303370
G9,P29,1,AI,姿态,180,1.8777777777777800
G9,P29,1,AI,视线,180,2.966666666666670
G9,P29,2,NoAI,姿态,178,1.7134831460674200
G9,P29,2,NoAI,视线,178,2.8764044943820200
G9,P30,1,AI,姿态,180,2.0277777777777800
G9,P30,1,AI,视线,180,2.988888888888890
G9,P30,2,NoAI,姿态,178,2.0280898876404500
G9,P30,2,NoAI,视线,178,2.9213483146067400
Ga,P31,1,NoAI,姿态,168,2.1726190476190500
Ga,P31,1,NoAI,视线,168,3.0
Ga,P31,2,AI,姿态,187,2.106951871657750
Ga,P31,2,AI,视线,187,3.0
Ga,P32,1,NoAI,姿态,168,2.2023809523809500
Ga,P32,1,NoAI,视线,168,2.982142857142860
Ga,P32,2,AI,姿态,187,2.1176470588235300
Ga,P32,2,AI,视线,187,2.9411764705882400
Ga,P33,1,NoAI,姿态,168,2.4702380952381000
Ga,P33,1,NoAI,视线,168,2.9642857142857100
Ga,P33,2,AI,姿态,187,2.3155080213903700
Ga,P33,2,AI,视线,187,2.962566844919790
Gb,P34,1,AI,姿态,180,2.1
Gb,P34,1,AI,视线,180,2.988888888888890
Gb,P34,2,NoAI,姿态,183,2.2240437158469900
Gb,P34,2,NoAI,视线,183,3.0
Gb,P35,1,AI,姿态,180,1.9666666666666700
Gb,P35,1,AI,视线,180,2.988888888888890
Gb,P35,2,NoAI,姿态,183,2.0382513661202200
Gb,P35,2,NoAI,视线,183,2.989071038251370
Gb,P36,1,AI,姿态,180,1.8166666666666700
Gb,P36,1,AI,视线,180,2.9722222222222200
Gb,P36,2,NoAI,姿态,183,1.9234972677595600
Gb,P36,2,NoAI,视线,183,2.8579234972677600